    epsilon  mu  delta  flock_avg
0      0.01   2      2   0.745833
1      0.01   2      4   1.571429
2      0.01   2      6   1.875000
3      0.01   2      8   2.000000
4      0.01   4      2   4.142857
5      0.01   4      4   0.000000
6      0.01   4      6   0.000000
7      0.01   4      8   0.000000
8      0.01   6      2   0.000000
9      0.01   6      4   0.000000
10     0.01   6      6   0.000000
11     0.01   6      8   0.000000
12     0.01   8      2   0.000000
13     0.01   8      4   0.000000
14     0.01   8      6   0.000000
15     0.01   8      8   0.000000
16     0.06   2      2   0.054991
17     0.06   2      4   0.045519
18     0.06   2      6   0.130252
19     0.06   2      8   0.235864
20     0.06   4      2   0.447619
21     0.06   4      4   0.313725
22     0.06   4      6   0.000000
23     0.06   4      8   0.000000
24     0.06   6      2   3.781250
25     0.06   6      4   0.000000
26     0.06   6      6   0.000000
27     0.06   6      8   0.000000
28     0.06   8      2   0.000000
29     0.06   8      4   0.000000
30     0.06   8      6   0.000000
31     0.06   8      8   0.000000
32     0.11   2      2   0.053801
33     0.11   2      4   0.061369
34     0.11   2      6   0.175918
35     0.11   2      8   0.266458
36     0.11   4      2   0.318408
37     0.11   4      4   0.301887
38     0.11   4      6   0.163265
39     0.11   4      8   0.000000
40     0.11   6      2   3.731707
41     0.11   6      4   5.000000
42     0.11   6      6   0.000000
43     0.11   6      8   0.000000
44     0.11   8      2   3.974359
45     0.11   8      4   0.000000
46     0.11   8      6   0.000000
47     0.11   8      8   0.000000
48     0.16   2      2   0.053145
49     0.16   2      4   0.059875
50     0.16   2      6   0.138837
51     0.16   2      8   0.183415
52     0.16   4      2   0.266033
53     0.16   4      4   0.291391
54     0.16   4      6   0.242424
55     0.16   4      8   0.363636
56     0.16   6      2   4.200000
57     0.16   6      4   6.000000
58     0.16   6      6   6.000000
59     0.16   6      8   0.000000
60     0.16   8      2   2.378641
61     0.16   8      4   4.263158
62     0.16   8      6   4.000000
63     0.16   8      8   0.000000
